,name,fuel_type,company,kms_driven,year,Price
0,Sedan,Diesel,TOYOTA,151514,2019,1129
1,Sedan,Diesel,FORD,132500,2009,1429
2,Sedan,Petrol,AUDI,172225,2013,7329
3,Sedan,Diesel,TOYOTA,2326,2011,7299
4,Hatchback,Petrol,NISSAN,92000,2003,7799
5,Sedan,Petrol,HYUNDAI,22500,2013,7299
6,Minivan,Petrol,TOYOTA,1600,2011,7999
7,Jeep,Diesel,HYUNDAI,232401,2015,4229
8,Minivan,Diesel,OPEL,290000,2005,4929
9,Sedan,Petrol,BMW,111111,2000,9529
10,Jeep,Petrol,BMW,19600,2013,13299
11,Jeep,Petrol,CHEVROLET,111149,2015,3399
12,Sedan,CNG,HYUNDAI,3601,2011,13299
13,Jeep,Diesel,SSANGYONG,34225,2013,17199
14,Jeep,CNG,NISSAN,154000,2002,19199
15,Jeep,Petrol,SUBARU,45000,2001,14399
16,Sedan,CNG,HYUNDAI,129150,2015,11900
17,Coupe,Petrol,MINI,151423,2005,13200
18,Jeep,Diesel,TOYOTA,204997,2016,3220
19,Hatchback,Petrol,VOLKSWAGEN,175000,2005,1346
20,Jeep,Petrol,HYUNDAI,242251,2017,15540
21,Jeep,Diesel,HYUNDAI,237111,2016,11900
22,Jeep,Diesel,CHEVROLET,57122,2007,11195
23,Sedan,Petrol,SUBARU,32211,2013,17075
24,Universal,Diesel,FORD,600,1991,11130
25,Sedan,Petrol,HYUNDAI,55000,2011,17950
26,Sedan,Petrol,HYUNDAI,57000,2013,14150
27,Sedan,CNG,HYUNDAI,55976,2015,5572
28,Coupe,Petrol,HYUNDAI,39139,2013,7957
29,Sedan,Diesel,LEXUS,72000,2009,1229
30,Sedan,Diesel,MERCEDES-BENZ,332000,2002,1192
31,Hatchback,Diesel,TOYOTA,16000,2009,769
32,Sedan,Diesel,HYUNDAI,204127,2019,4921
33,Sedan,Petrol,HYUNDAI,119347,2015,3712
34,Sedan,Petrol,KIA,119420,2013,22014
35,Jeep,Petrol,HONDA,242099,1994,32524
36,Sedan,Petrol,FORD,152000,2013,32024
37,Hatchback,Diesel,LEXUS,17261,2019,37024
38,Sedan,Diesel,TOYOTA,130274,2013,3300
39,Jeep,Petrol,VOLKSWAGEN,16000,2016,9295
40,Jeep,Diesel,MERCEDES-BENZ,13291,2013,9495
41,Jeep,Diesel,BMW,291395,2019,11450
42,Sedan,Diesel,OPEL,200000,2019,3170
43,Sedan,Petrol,VOLKSWAGEN,153211,2015,15020
44,Jeep,Diesel,SSANGYONG,65421,2013,1556
45,Jeep,Diesel,SSANGYONG,172232,2016,14150
46,Jeep,Diesel,HYUNDAI,113195,2017,14120
47,Minivan,Diesel,HYUNDAI,37241,2013,5114
48,Jeep,Petrol,TOYOTA,1620,2017,7053
49,Hatchback,Diesel,TOYOTA,65000,2013,763
50,Sedan,Diesel,TOYOTA,37515,2014,731
51,Sedan,Petrol,MERCEDES-BENZ,10220,2000,7775
52,Minivan,Diesel,FORD,204000,2001,996
53,Sedan,Petrol,MERCEDES-BENZ,259000,2003,9233
54,Hatchback,Petrol,HONDA,16000,2001,1359
55,Sedan,Petrol,BMW,6000,2011,7213
56,Hatchback,Diesel,TOYOTA,23000,2009,6194
57,Sedan,Petrol,HONDA,12124,2013,4013
58,Sedan,Petrol,GMC,31142,2015,11192
59,Sedan,Diesel,CHEVROLET,52000,2013,5324
60,Sedan,Petrol,HYUNDAI,25135,2017,1334
61,Sedan,Petrol,BMW,239000,2002,1244
62,Sedan,Diesel,MERCEDES-BENZ,273141,2011,1914
63,Jeep,Petrol,BUICK,27000,2011,7494
64,Sedan,Petrol,BMW,220000,2009,4774
65,Jeep,Diesel,MERCEDES-BENZ,0,2011,1934
66,Sedan,CNG,HYUNDAI,227733,2015,7194
67,Hatchback,Diesel,HONDA,54000,2013,7494
68,Jeep,Petrol,SUBARU,2600,2014,7744
69,Hatchback,Diesel,HONDA,55000,2019,7734
70,Sedan,Petrol,CHEVROLET,295000,2019,4354
71,Hatchback,CNG,TOYOTA,275000,2004,9254
72,Sedan,Diesel,TOYOTA,1700,2004,4054
73,Sedan,Petrol,VOLKSWAGEN,149700,2019,4234
74,Sedan,Petrol,MAZDA,271902,2011,9294
75,Sedan,CNG,HYUNDAI,64792,2013,9534
76,Sedan,CNG,HYUNDAI,30313,2015,4229
77,Sedan,Diesel,HONDA,2392,2012,9139
78,Sedan,Diesel,MERCEDES-BENZ,32622,1999,9949
79,Jeep,Diesel,CHEVROLET,5237,2007,11199
80,Jeep,Diesel,LEXUS,117222,2016,11529
81,Sedan,Petrol,DAEWOO,14305,2016,17119
82,Jeep,Petrol,SSANGYONG,1331,2011,4924
83,Coupe,Petrol,HONDA,29000,2019,6194
84,Sedan,Petrol,TOYOTA,11556,2016,9944
85,Hatchback,Diesel,TOYOTA,17600,2007,6494
86,Sedan,Petrol,TOYOTA,0,2013,1324
87,Jeep,Petrol,NISSAN,16000,2011,11554
88,Sedan,Diesel,HYUNDAI,34000,2011,15994
89,Sedan,CNG,HYUNDAI,324753,2015,15190
90,Sedan,Diesel,HONDA,32472,2013,15750
91,Jeep,Diesel,TOYOTA,251911,2016,7775
92,Jeep,Diesel,HYUNDAI,72247,2011,7975
93,Sedan,Petrol,MERCEDES-BENZ,65000,2019,7995
94,Jeep,Diesel,SUBARU,33272,2013,4195
95,Jeep,Petrol,MERCEDES-BENZ,39217,2019,4295
96,Sedan,Diesel,TOYOTA,9760,2019,9295
97,Jeep,Petrol,HYUNDAI,20761,2013,9995
98,Sedan,Diesel,MERCEDES-BENZ,21611,2009,11595
99,Hatchback,Diesel,TOYOTA,151923,2013,9940
100,Jeep,CNG,LEXUS,302000,2003,13295
101,Hatchback,Petrol,OPEL,220000,1997,13425
102,Jeep,Petrol,MITSUBISHI,3217,2017,3290
103,Sedan,LPG,MERCEDES-BENZ,230000,1999,3920
104,Minivan,Diesel,HYUNDAI,25301,2011,13215
105,Jeep,Petrol,LEXUS,95000,2019,15945
106,Minivan,Diesel,HYUNDAI,31970,2013,11515
107,Sedan,Petrol,GAZ,0,1911,14220
108,Sedan,Petrol,VAZ,33134,1944,14950
109,Minivan,Petrol,HONDA,130000,2016,11425
